county,stname,coname,returns,exempts
57003,FR,Foreign - Puerto Rico,628,954
11001,DC,District of Columbia,479,454
25025,MA,Suffolk County,311,274
12073,FL,Leon County,98,118
51013,VA,Arlington County,80,92
12086,FL,Miami-Dade County,205,91
57005,FR,Foreign - APO/FPO ZIPs,60,83
27053,MN,Hennepin County,110,58
25017,MA,Middlesex County,148,51
02020,AK,Anchorage Municipality,20,35
57009,FR,Foreign - Other flows,21,35
05119,AR,Pulaski County,21,34
13063,GA,Clayton County,19,34
16001,ID,Ada County,20,34
18105,IN,Monroe County,34,34
27123,MN,Ramsey County,21,32
20045,KS,Douglas County,26,30
06061,CA,Placer County,12,29
08069,CO,Larimer County,20,29
36109,NY,Tompkins County,66,29
51540,VA,Charlottesville city,30,29
53063,WA,Spokane County,23,29
32031,NV,Washoe County,28,28
44009,RI,Washington County,24,28
09011,CT,New London County,46,27
23019,ME,Penobscot County,20,26
39153,OH,Summit County,23,26
01089,AL,Madison County,21,25
13059,GA,Clarke County,13,23
17043,IL,DuPage County,47,23
29019,MO,Boone County,23,22
39133,OH,Portage County,22,22
39151,OH,Stark County,18,21
17089,IL,Kane County,19,20
36075,NY,Oswego County,14,20
13051,GA,Chatham County,28,19
17019,IL,Champaign County,15,19
36031,NY,Essex County,13,19
48041,TX,Brazos County,16,19
51179,VA,Stafford County,5,18
51680,VA,Lynchburg city,14,18
20061,KS,Geary County,11,17
49053,UT,Washington County,11,17
51095,VA,James City County,11,17
18157,IN,Tippecanoe County,14,16
24013,MD,Carroll County,12,16
28047,MS,Harrison County,12,16
12001,FL,Alachua County,26,15
30063,MT,Missoula County,14,15
50023,VT,Washington County,15,15
53067,WA,Thurston County,11,15
56021,WY,Laramie County,11,15
06079,CA,San Luis Obispo County,13,14
23009,ME,Hancock County,14,14
31079,NE,Hall County,11,13
39009,OH,Athens County,13,13
54061,WV,Monongalia County,11,13
01125,AL,Tuscaloosa County,11,12
28121,MS,Rankin County,10,12
33003,NH,Carroll County,10,12
33005,NH,Cheshire County,12,12
42027,PA,Centre County,22,12
20173,KS,Sedgwick County,6,11
17197,IL,Will County,9,10
29189,MO,St. Louis County,33,10
12087,FL,Monroe County,9,9
42041,PA,Cumberland County,7,9
47149,TN,Rutherford County,1,8
36063,NY,Niagara County,14,7
42129,PA,Westmoreland County,7,7
33009,NH,Grafton County,19,6
55025,WI,Dane County,20,6
06095,CA,Solano County,3,5
06099,CA,Stanislaus County,0,5
09015,CT,Windham County,2,5
30031,MT,Gallatin County,-1,5
18141,IN,St. Joseph County,7,4
25011,MA,Franklin County,8,4
47093,TN,Knox County,8,4
13021,GA,Bibb County,2,3
28049,MS,Hinds County,6,3
12017,FL,Citrus County,-3,2
17111,IL,McHenry County,0,2
39061,OH,Hamilton County,24,2
47157,TN,Shelby County,15,2
12091,FL,Okaloosa County,0,1
23031,ME,York County,11,1
36053,NY,Madison County,1,1
42019,PA,Butler County,4,1
49011,UT,Davis County,6,1
26065,MI,Ingham County,11,-1
26077,MI,Kalamazoo County,2,-1
29510,MO,St. Louis city,10,-1
40027,OK,Cleveland County,4,-1
44001,RI,Bristol County,1,-1
39165,OH,Warren County,7,-2
47187,TN,Williamson County,3,-2
06087,CA,Santa Cruz County,4,-3
08097,CO,Pitkin County,1,-3
39093,OH,Lorain County,2,-3
49049,UT,Utah County,4,-3
51650,VA,Hampton city,-3,-3
06083,CA,Santa Barbara County,1,-4
40109,OK,Oklahoma County,14,-4
45015,SC,Berkeley County,-2,-4
08001,CO,Adams County,-2,-5
08037,CO,Eagle County,-2,-5
18097,IN,Marion County,19,-5
22103,LA,St. Tammany Parish,1,-5
09013,CT,Tolland County,4,-6
51003,VA,Albemarle County,10,-6
01117,AL,Shelby County,0,-7
27109,MN,Olmsted County,3,-7
37133,NC,Onslow County,-2,-7
08035,CO,Douglas County,-3,-9
15009,HI,Maui County,-14,-9
50025,VT,Windham County,-6,-9
31109,NE,Lancaster County,-2,-10
39017,OH,Butler County,7,-10
48215,TX,Hidalgo County,2,-10
53035,WA,Kitsap County,-7,-10
54011,WV,Cabell County,-10,-10
06111,CA,Ventura County,5,-11
34009,NJ,Cape May County,-6,-11
36011,NY,Cayuga County,-10,-11
44003,RI,Kent County,-1,-11
06053,CA,Monterey County,-6,-12
17143,IL,Peoria County,-11,-12
31055,NE,Douglas County,14,-12
48355,TX,Nueces County,-11,-12
33015,NH,Rockingham County,2,-13
36013,NY,Chautauqua County,-10,-13
37049,NC,Craven County,-6,-13
50027,VT,Windsor County,-6,-13
01097,AL,Mobile County,2,-14
23013,ME,Knox County,-12,-14
33013,NH,Merrimack County,-5,-14
39095,OH,Lucas County,0,-14
39173,OH,Wood County,-10,-14
48167,TX,Galveston County,4,-14
50003,VT,Bennington County,-12,-14
13113,GA,Fayette County,-4,-15
21067,KY,Fayette County,4,-15
35049,NM,Santa Fe County,-15,-15
36019,NY,Clinton County,-11,-15
48309,TX,McLennan County,-10,-15
53011,WA,Clark County,-14,-15
05143,AR,Washington County,-10,-16
26161,MI,Washtenaw County,15,-16
29183,MO,St. Charles County,-10,-16
37125,NC,Moore County,-10,-16
12005,FL,Bay County,-10,-17
20161,KS,Riley County,-10,-17
40143,OK,Tulsa County,-9,-17
13117,GA,Forsyth County,-11,-18
22055,LA,Lafayette Parish,-6,-18
36017,NY,Chenango County,-10,-18
08041,CO,El Paso County,0,-19
22115,LA,Vernon Parish,-10,-19
25007,MA,Dukes County,-12,-19
36045,NY,Jefferson County,-4,-19
41039,OR,Lane County,-4,-19
42007,PA,Beaver County,-11,-19
48141,TX,El Paso County,-9,-19
12033,FL,Escambia County,-9,-20
24045,MD,Wicomico County,-11,-20
36113,NY,Warren County,-10,-20
48039,TX,Brazoria County,-10,-20
51800,VA,Suffolk city,-10,-20
06055,CA,Napa County,-18,-21
18089,IN,Lake County,-16,-21
24017,MD,Charles County,-13,-21
25023,MA,Plymouth County,14,-21
45043,SC,Georgetown County,-12,-21
45085,SC,Sumter County,-12,-21
13057,GA,Cherokee County,-11,-22
04019,AZ,Pima County,1,-23
33017,NH,Strafford County,-15,-23
37129,NC,New Hanover County,-13,-23
53073,WA,Whatcom County,-13,-23
55079,WI,Milwaukee County,8,-23
01101,AL,Montgomery County,-11,-24
06113,CA,Yolo County,-15,-24
22033,LA,East Baton Rouge Parish,-4,-24
37159,NC,Rowan County,-10,-24
42081,PA,Lycoming County,-11,-24
13153,GA,Houston County,-11,-25
17113,IL,McLean County,-12,-25
19153,IA,Polk County,-10,-25
34041,NJ,Warren County,-19,-25
41005,OR,Clackamas County,-14,-25
45041,SC,Florence County,-9,-25
48303,TX,Lubbock County,-11,-25
06097,CA,Sonoma County,-12,-26
12085,FL,Martin County,-15,-26
13179,GA,Liberty County,-9,-26
24025,MD,Harford County,-9,-26
26099,MI,Macomb County,1,-26
55133,WI,Waukesha County,-7,-26
01073,AL,Jefferson County,-8,-27
06029,CA,Kern County,-13,-27
37195,NC,Wilson County,-11,-27
54039,WV,Kanawha County,-12,-27
21227,KY,Warren County,-10,-28
29095,MO,Jackson County,13,-28
42029,PA,Chester County,2,-28
04021,AZ,Pinal County,-12,-29
24021,MD,Frederick County,-19,-29
37071,NC,Gaston County,-13,-29
36057,NY,Montgomery County,-15,-30
50007,VT,Chittenden County,5,-30
06071,CA,San Bernardino County,-3,-31
34037,NJ,Sussex County,-15,-31
36035,NY,Fulton County,-17,-31
37085,NC,Harnett County,-12,-31
45063,SC,Lexington County,-11,-31
51107,VA,Loudoun County,9,-31
06077,CA,San Joaquin County,-16,-32
37191,NC,Wayne County,-15,-32
08059,CO,Jefferson County,-17,-33
10005,DE,Sussex County,-15,-33
42049,PA,Erie County,-12,-33
33011,NH,Hillsborough County,-12,-34
36083,NY,Rensselaer County,-10,-34
37001,NC,Alamance County,-17,-34
45035,SC,Dorchester County,-17,-34
49043,UT,Summit County,-18,-34
26049,MI,Genesee County,-15,-35
41029,OR,Jackson County,-23,-35
51700,VA,Newport News city,-19,-35
06019,CA,Fresno County,-14,-36
24015,MD,Cecil County,-29,-36
36039,NY,Greene County,-20,-36
37019,NC,Brunswick County,-20,-36
49035,UT,Salt Lake County,-14,-36
17097,IL,Lake County,1,-37
19103,IA,Johnson County,-7,-37
13245,GA,Richmond County,-29,-38
42107,PA,Schuylkill County,-16,-38
12061,FL,Indian River County,-8,-39
34019,NJ,Hunterdon County,-17,-40
36069,NY,Ontario County,-16,-40
21117,KY,Kenton County,-21,-41
37067,NC,Forsyth County,-2,-41
41067,OR,Washington County,-18,-41
27037,MN,Dakota County,-20,-42
45013,SC,Beaufort County,-28,-42
47065,TN,Hamilton County,-15,-43
47125,TN,Montgomery County,-21,-43
37097,NC,Iredell County,-18,-44
39113,OH,Montgomery County,-16,-44
44005,RI,Newport County,-19,-44
13217,GA,Newton County,-28,-45
37063,NC,Durham County,-9,-46
51710,VA,Norfolk city,-13,-46
51740,VA,Portsmouth city,-25,-46
23005,ME,Cumberland County,-25,-47
34015,NJ,Gloucester County,-19,-47
48339,TX,Montgomery County,-25,-47
21111,KY,Jefferson County,-30,-49
24003,MD,Anne Arundel County,-18,-49
48491,TX,Williamson County,-15,-49
25001,MA,Barnstable County,-21,-50
37101,NC,Johnston County,-26,-51
37135,NC,Orange County,-15,-51
08005,CO,Arapahoe County,0,-52
26163,MI,Wayne County,22,-52
12019,FL,Clay County,-23,-53
35001,NM,Bernalillo County,-41,-54
12015,FL,Charlotte County,-29,-55
36077,NY,Otsego County,-32,-55
08013,CO,Boulder County,-39,-56
51153,VA,Prince William County,-19,-56
09007,CT,Middlesex County,-22,-58
18003,IN,Allen County,-36,-59
37147,NC,Pitt County,-24,-61
