,co_fips,co_name,state,inflow2011_12,outflow2011_12,cbsa_code,cbsa_name,net_flow2011_12,inflow2012_13,outflow2012_13,net_flow2012_13,inflow2013_14,outflow2013_14,net_flow2013_14,inflow2014_15,outflow2014_15,net_flow2014_15,in_rank2011_12,ou_rank2011_12,in_rank2012_13,ou_rank2012_13,in_rank2013_14,ou_rank2013_14,in_rank2014_15,ou_rank2014_15,tot_inflow,tot_outflow,tot_net_flow,net_change12_13,net_change13_14,net_change14_15
115,42103,Pike County,PA,243,453,35620,"New York-Newark-Jersey City, NY-NJ-PA",-210,240,444,-204,257,390,-133,189,374,-185,110.0,97.0,114.0,100.0,99.0,101.0,108.0,90.0,929,1661,-732,6,71,-52
116,06065,Riverside County,CA,242,254,40140,"Riverside-San Bernardino-Ontario, CA",-12,188,298,-110,187,267,-80,141,198,-57,111.0,139.0,135.0,130.0,120.0,129.0,124.0,129.0,758,1017,-259,-98,30,23
117,49035,Salt Lake County,UT,241,234,41620,"Salt Lake City, UT",7,235,271,-36,194,209,-15,134,110,24,112.0,144.0,117.0,140.0,116.0,144.0,126.0,155.0,804,824,-20,-43,21,39
118,48029,Bexar County,TX,240,411,41700,"San Antonio-New Braunfels, TX",-171,340,454,-114,241,418,-177,222,321,-99,113.0,106.0,90.0,99.0,104.0,98.0,100.0,100.0,1043,1604,-561,57,-63,78
119,55025,Dane County,WI,239,169,31540,"Madison, WI",70,179,173,6,120,148,-28,105,71,34,114.0,172.0,140.0,175.0,151.0,168.0,140.0,169.0,643,561,82,-64,-34,62
120,37081,Guilford County,NC,232,388,24660,"Greensboro-High Point, NC",-156,236,438,-202,227,325,-98,163,293,-130,115.0,111.0,116.0,102.0,109.0,115.0,115.0,105.0,858,1444,-586,-46,104,-32
121,24003,Anne Arundel County,MD,230,320,12580,"Baltimore-Columbia-Towson, MD",-90,241,290,-49,177,236,-59,220,206,14,116.0,123.0,113.0,134.0,126.0,137.0,101.0,127.0,868,1052,-184,41,-10,73
122,12101,Pasco County,FL,230,409,45300,"Tampa-St. Petersburg-Clearwater, FL",-179,257,419,-162,102,334,-232,97,259,-162,116.0,107.0,110.0,104.0,162.0,113.0,143.0,112.0,686,1421,-735,17,-70,70
123,51153,Prince William County,VA,229,372,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-143,211,267,-56,167,267,-100,126,209,-83,117.0,115.0,124.0,143.0,128.0,129.0,130.0,126.0,733,1115,-382,87,-44,17
124,12083,Marion County,FL,228,317,36100,"Ocala, FL",-89,142,322,-180,114,290,-176,0,233,-233,118.0,126.0,159.0,124.0,155.0,123.0,191.0,121.0,484,1162,-678,-91,4,-57
125,06071,San Bernardino County,CA,228,209,40140,"Riverside-San Bernardino-Ontario, CA",19,239,270,-31,180,186,-6,203,163,40,118.0,152.0,115.0,141.0,123.0,150.0,105.0,136.0,850,828,22,-50,25,46
126,36093,Schenectady County,NY,227,583,10580,"Albany-Schenectady-Troy, NY",-356,330,484,-154,259,555,-296,244,444,-200,119.0,82.0,93.0,95.0,97.0,79.0,96.0,80.0,1060,2066,-1006,202,-142,96
127,37051,Cumberland County,NC,225,436,22180,"Fayetteville, NC",-211,288,411,-123,184,356,-172,187,267,-80,120.0,101.0,104.0,106.0,122.0,108.0,109.0,110.0,884,1470,-586,88,-49,92
128,47157,Shelby County,TN,224,255,32820,"Memphis, TN-MS-AR",-31,211,209,2,164,130,34,130,75,55,121.0,138.0,124.0,159.0,129.0,174.0,128.0,167.0,729,669,60,33,32,21
129,09005,Litchfield County,CT,222,327,45860,"Torrington, CT",-105,233,348,-115,193,350,-157,228,253,-25,122.0,121.0,118.0,119.0,117.0,109.0,99.0,115.0,876,1278,-402,-10,-42,132
130,12009,Brevard County,FL,221,474,37340,"Palm Bay-Melbourne-Titusville, FL",-253,256,424,-168,209,402,-193,164,330,-166,123.0,95.0,111.0,103.0,112.0,100.0,114.0,97.0,850,1630,-780,85,-25,27
131,22071,Orleans Parish,LA,218,316,35380,"New Orleans-Metairie, LA",-98,204,331,-127,178,325,-147,131,216,-85,124.0,127.0,127.0,121.0,125.0,115.0,127.0,122.0,731,1188,-457,-29,-20,62
132,45079,Richland County,SC,217,247,17900,"Columbia, SC",-30,189,288,-99,141,130,11,82,113,-31,125.0,141.0,134.0,135.0,143.0,174.0,150.0,153.0,629,778,-149,-69,110,-42
133,42029,Chester County,PA,217,281,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",-64,264,292,-28,217,271,-54,201,164,37,125.0,134.0,109.0,132.0,110.0,128.0,106.0,135.0,899,1008,-109,36,-26,91
134,55079,Milwaukee County,WI,215,225,33340,"Milwaukee-Waukesha-West Allis, WI",-10,193,216,-23,188,177,11,90,129,-39,126.0,145.0,131.0,155.0,119.0,154.0,144.0,148.0,686,747,-61,-13,34,-50
135,12111,St. Lucie County,FL,207,418,38940,"Port St. Lucie, FL",-211,216,370,-154,131,384,-253,74,350,-276,127.0,104.0,123.0,115.0,147.0,103.0,155.0,93.0,628,1522,-894,57,-99,-23
136,37133,Onslow County,NC,206,150,27340,"Jacksonville, NC",56,168,175,-7,99,153,-54,39,163,-124,128.0,182.0,145.0,174.0,163.0,166.0,175.0,136.0,512,641,-129,-63,-47,-70
137,48085,Collin County,TX,206,343,19100,"Dallas-Fort Worth-Arlington, TX",-137,230,368,-138,189,390,-201,141,257,-116,128.0,118.0,120.0,116.0,118.0,101.0,124.0,114.0,766,1358,-592,-1,-63,85
138,45019,Charleston County,SC,203,286,16700,"Charleston-North Charleston, SC",-83,166,318,-152,150,334,-184,145,151,-6,129.0,133.0,146.0,125.0,139.0,113.0,123.0,141.0,664,1089,-425,-69,-32,178
139,13063,Clayton County,GA,201,379,12060,"Atlanta-Sandy Springs-Roswell, GA",-178,325,291,34,150,340,-190,52,336,-284,130.0,113.0,95.0,133.0,139.0,111.0,170.0,96.0,728,1346,-618,212,-224,-94
140,53053,Pierce County,WA,200,155,42660,"Seattle-Tacoma-Bellevue, WA",45,113,191,-78,131,143,-12,28,83,-55,131.0,179.0,172.0,165.0,147.0,169.0,183.0,164.0,472,572,-100,-123,66,-43
141,17097,Lake County,IL,197,209,16980,"Chicago-Naperville-Elgin, IL-IN-WI",-12,181,218,-37,119,158,-39,116,116,0,132.0,152.0,138.0,154.0,152.0,163.0,134.0,152.0,613,701,-88,-25,-2,39
142,42069,Lackawanna County,PA,196,332,42540,"Scranton--Wilkes-Barre--Hazleton, PA",-136,186,270,-84,153,282,-129,150,271,-121,133.0,120.0,136.0,141.0,138.0,126.0,120.0,109.0,685,1155,-470,52,-45,8
143,17043,DuPage County,IL,196,165,16980,"Chicago-Naperville-Elgin, IL-IN-WI",31,200,177,23,149,179,-30,103,176,-73,133.0,176.0,129.0,172.0,140.0,152.0,141.0,133.0,648,697,-49,-8,-53,-43
144,42043,Dauphin County,PA,192,293,25420,"Harrisburg-Carlisle, PA",-101,180,323,-143,173,311,-138,82,322,-240,134.0,131.0,139.0,123.0,127.0,117.0,150.0,99.0,627,1249,-622,-42,5,-102
145,42133,York County,PA,190,292,49620,"York-Hanover, PA",-102,153,278,-125,108,251,-143,34,135,-101,135.0,132.0,153.0,138.0,157.0,132.0,177.0,145.0,485,956,-471,-23,-18,42
146,25015,Hampshire County,MA,190,169,44140,"Springfield, MA",21,119,198,-79,136,157,-21,90,98,-8,135.0,172.0,169.0,163.0,144.0,164.0,144.0,158.0,535,622,-87,-100,58,13
147,51087,Henrico County,VA,190,339,40060,"Richmond, VA",-149,189,310,-121,163,287,-124,178,240,-62,135.0,119.0,134.0,128.0,130.0,125.0,111.0,120.0,720,1176,-456,28,-3,62
148,36083,Rensselaer County,NY,189,255,10580,"Albany-Schenectady-Troy, NY",-66,209,243,-34,161,278,-117,137,244,-107,136.0,138.0,125.0,150.0,132.0,127.0,125.0,119.0,696,1020,-324,32,-83,10
149,01073,Jefferson County,AL,181,177,13820,"Birmingham-Hoover, AL",4,157,184,-27,85,117,-32,42,39,3,137.0,168.0,150.0,168.0,169.0,181.0,174.0,185.0,465,517,-52,-31,-5,35
150,48141,El Paso County,TX,181,189,21340,"El Paso, TX",-8,152,171,-19,84,134,-50,58,98,-40,137.0,160.0,154.0,176.0,170.0,173.0,166.0,158.0,475,592,-117,-11,-31,10
151,36091,Saratoga County,NY,180,214,10580,"Albany-Schenectady-Troy, NY",-34,192,281,-89,167,225,-58,175,251,-76,138.0,150.0,132.0,137.0,128.0,141.0,112.0,116.0,714,971,-257,-55,31,-18
152,13051,Chatham County,GA,179,209,42340,"Savannah, GA",-30,198,179,19,80,169,-89,43,99,-56,139.0,152.0,130.0,171.0,172.0,158.0,173.0,157.0,500,656,-156,49,-108,33
153,48157,Fort Bend County,TX,178,260,26420,"Houston-The Woodlands-Sugar Land, TX",-82,110,333,-223,104,300,-196,47,246,-199,140.0,137.0,174.0,120.0,161.0,121.0,172.0,118.0,439,1139,-700,-141,27,-3
154,06067,Sacramento County,CA,176,185,40900,"Sacramento--Roseville--Arden-Arcade, CA",-9,174,256,-82,187,205,-18,173,163,10,141.0,163.0,142.0,146.0,120.0,146.0,113.0,136.0,710,809,-99,-73,64,28
155,24027,Howard County,MD,174,266,12580,"Baltimore-Columbia-Towson, MD",-92,191,296,-105,134,259,-125,153,144,9,142.0,136.0,133.0,131.0,146.0,130.0,119.0,144.0,652,965,-313,-13,-20,134
156,51760,Richmond city,VA,174,286,40060,"Richmond, VA",-112,235,325,-90,179,305,-126,162,205,-43,142.0,133.0,117.0,122.0,124.0,119.0,116.0,128.0,750,1121,-371,22,-36,83
157,12115,Sarasota County,FL,170,319,35840,"North Port-Sarasota-Bradenton, FL",-149,205,316,-111,135,336,-201,107,211,-104,143.0,124.0,126.0,126.0,145.0,112.0,139.0,125.0,617,1182,-565,38,-90,97
158,45045,Greenville County,SC,167,186,24860,"Greenville-Anderson-Mauldin, SC",-19,71,157,-86,37,228,-191,53,52,1,144.0,162.0,195.0,180.0,201.0,140.0,169.0,176.0,328,623,-295,-67,-105,192
159,51510,Alexandria city,VA,166,196,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-30,159,247,-88,162,214,-52,123,145,-22,145.0,156.0,148.0,147.0,131.0,143.0,133.0,143.0,610,802,-192,-58,36,30
160,25001,Barnstable County,MA,163,215,12700,"Barnstable Town, MA",-52,164,214,-50,154,184,-30,114,177,-63,146.0,149.0,147.0,156.0,137.0,151.0,135.0,132.0,595,790,-195,2,20,-33
161,22051,Jefferson Parish,LA,163,201,35380,"New Orleans-Metairie, LA",-38,136,211,-75,84,193,-109,75,151,-76,146.0,154.0,162.0,158.0,170.0,149.0,154.0,141.0,458,756,-298,-37,-34,33
162,36065,Oneida County,NY,161,252,46540,"Utica-Rome, NY",-91,176,312,-136,149,258,-109,114,276,-162,147.0,140.0,141.0,127.0,140.0,131.0,135.0,107.0,600,1098,-498,-45,27,-53
163,04019,Pima County,AZ,160,202,46060,"Tucson, AZ",-42,169,192,-23,131,186,-55,78,112,-34,148.0,153.0,144.0,164.0,147.0,150.0,152.0,154.0,538,692,-154,19,-32,21
164,51700,Newport News city,VA,154,217,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",-63,147,182,-35,49,197,-148,85,41,44,149.0,148.0,156.0,170.0,193.0,148.0,148.0,183.0,435,637,-202,28,-113,192
165,08013,Boulder County,CO,153,180,14500,"Boulder, CO",-27,152,208,-56,111,236,-125,80,167,-87,150.0,165.0,154.0,160.0,156.0,137.0,151.0,134.0,496,791,-295,-29,-69,38
166,25005,Bristol County,MA,152,217,39300,"Providence-Warwick, RI-MA",-65,155,245,-90,157,232,-75,159,72,87,151.0,148.0,151.0,148.0,135.0,139.0,118.0,168.0,623,766,-143,-25,15,162
167,33011,Hillsborough County,NH,151,213,31700,"Manchester-Nashua, NH",-62,200,234,-34,158,174,-16,116,197,-81,152.0,151.0,129.0,151.0,134.0,155.0,134.0,130.0,625,818,-193,28,18,-65
168,48027,Bell County,TX,150,190,28660,"Killeen-Temple, TX",-40,154,220,-66,42,165,-123,0,119,-119,153.0,159.0,152.0,153.0,196.0,160.0,191.0,151.0,346,694,-348,-26,-57,4
169,34037,Sussex County,NJ,149,162,35620,"New York-Newark-Jersey City, NY-NJ-PA",-13,114,145,-31,143,160,-17,129,90,39,154.0,177.0,171.0,187.0,141.0,162.0,129.0,161.0,535,557,-22,-18,14,56
170,12081,Manatee County,FL,147,187,35840,"North Port-Sarasota-Bradenton, FL",-40,138,207,-69,80,156,-76,25,119,-94,155.0,161.0,161.0,161.0,172.0,165.0,186.0,151.0,390,669,-279,-29,-7,-18
171,12069,Lake County,FL,141,352,36740,"Orlando-Kissimmee-Sanford, FL",-211,169,356,-187,71,356,-285,75,249,-174,156.0,116.0,144.0,117.0,177.0,108.0,154.0,117.0,456,1313,-857,24,-98,111
172,12001,Alachua County,FL,139,160,23540,"Gainesville, FL",-21,144,129,15,85,83,2,76,40,36,157.0,178.0,158.0,192.0,169.0,196.0,153.0,184.0,444,412,32,36,-13,34
173,49049,Utah County,UT,136,37,39340,"Provo-Orem, UT",99,48,51,-3,53,53,0,63,0,63,158.0,258.0,215.0,240.0,189.0,206.0,163.0,195.0,300,141,159,-102,3,63
174,36045,Jefferson County,NY,136,152,48060,"Watertown-Fort Drum, NY",-16,131,150,-19,0,90,-90,51,47,4,158.0,181.0,164.0,186.0,215.0,191.0,171.0,179.0,318,439,-121,-3,-71,94
175,25023,Plymouth County,MA,135,174,14460,"Boston-Cambridge-Newton, MA-NH",-39,158,179,-21,159,168,-9,108,78,30,159.0,169.0,149.0,171.0,133.0,159.0,138.0,166.0,560,599,-39,18,12,39
176,36021,Columbia County,NY,134,304,26460,"Hudson, NY",-170,182,287,-105,202,296,-94,86,261,-175,160.0,129.0,137.0,136.0,113.0,122.0,147.0,111.0,604,1148,-544,65,11,-81
177,23005,Cumberland County,ME,134,180,38860,"Portland-South Portland, ME",-46,145,192,-47,155,234,-79,112,164,-52,160.0,165.0,157.0,164.0,136.0,138.0,136.0,135.0,546,770,-224,-1,-32,27
178,08005,Arapahoe County,CO,132,171,19740,"Denver-Aurora-Lakewood, CO",-39,152,204,-52,115,203,-88,89,145,-56,161.0,170.0,154.0,162.0,154.0,147.0,145.0,143.0,488,723,-235,-13,-36,32
179,02020,Anchorage Municipality,AK,130,115,11260,"Anchorage, AK",15,103,68,35,0,35,-35,0,0,0,162.0,202.0,176.0,228.0,215.0,217.0,191.0,195.0,233,218,15,20,-70,35
180,34041,Warren County,NJ,130,150,10900,"Allentown-Bethlehem-Easton, PA-NJ",-20,130,155,-25,31,89,-58,23,37,-14,162.0,182.0,165.0,182.0,206.0,192.0,188.0,187.0,314,431,-117,-5,-33,44
181,21111,Jefferson County,KY,130,170,31140,"Louisville/Jefferson County, KY-IN",-40,141,190,-49,105,148,-43,69,130,-61,162.0,171.0,160.0,166.0,160.0,168.0,158.0,147.0,445,638,-193,-9,6,-18
182,27123,Ramsey County,MN,130,107,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",23,123,91,32,85,69,16,68,48,20,162.0,208.0,167.0,210.0,169.0,202.0,159.0,178.0,406,315,91,9,-16,4
183,06041,Marin County,CA,129,168,41860,"San Francisco-Oakland-Hayward, CA",-39,114,234,-120,121,242,-121,124,186,-62,163.0,173.0,171.0,151.0,150.0,135.0,132.0,131.0,488,830,-342,-81,-1,59
184,48121,Denton County,TX,128,154,19100,"Dallas-Fort Worth-Arlington, TX",-26,135,209,-74,124,94,30,68,133,-65,164.0,180.0,163.0,159.0,149.0,189.0,159.0,146.0,455,590,-135,-48,104,-95
185,50007,Chittenden County,VT,127,133,15540,"Burlington-South Burlington, VT",-6,127,157,-30,89,108,-19,72,69,3,165.0,192.0,166.0,180.0,167.0,185.0,156.0,170.0,415,467,-52,-24,11,22
186,51107,Loudoun County,VA,122,193,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-71,145,176,-31,142,206,-64,153,126,27,166.0,157.0,157.0,173.0,142.0,145.0,119.0,149.0,562,701,-139,40,-33,91
187,29510,St. Louis city,MO,121,98,41180,"St. Louis, MO-IL",23,116,117,-1,72,67,5,64,37,27,167.0,212.0,170.0,195.0,176.0,204.0,162.0,187.0,373,319,54,-24,6,22
188,26099,Macomb County,MI,118,149,19820,"Detroit-Warren-Dearborn, MI",-31,114,140,-26,57,86,-29,30,0,30,168.0,183.0,171.0,189.0,188.0,194.0,181.0,195.0,319,375,-56,5,-3,59
189,09007,Middlesex County,CT,117,117,25540,"Hartford-West Hartford-East Hartford, CT",0,105,163,-58,129,139,-10,88,0,88,169.0,200.0,175.0,178.0,148.0,170.0,146.0,195.0,439,419,20,-58,48,98
190,25003,Berkshire County,MA,115,167,38340,"Pittsfield, MA",-52,101,190,-89,98,149,-51,59,82,-23,170.0,174.0,177.0,166.0,164.0,167.0,165.0,165.0,373,588,-215,-37,38,28
191,34019,Hunterdon County,NJ,115,179,35620,"New York-Newark-Jersey City, NY-NJ-PA",-64,164,204,-40,116,114,2,110,40,70,170.0,166.0,147.0,162.0,153.0,183.0,137.0,184.0,505,537,-32,24,42,68
192,51041,Chesterfield County,VA,113,193,40060,"Richmond, VA",-80,152,233,-81,38,240,-202,125,97,28,171.0,157.0,154.0,152.0,200.0,136.0,131.0,159.0,428,763,-335,-1,-121,230
193,36039,Greene County,NY,113,220,,non-metro,-107,120,156,-36,107,171,-64,97,153,-56,171.0,146.0,168.0,181.0,158.0,157.0,143.0,140.0,437,700,-263,71,-28,8
194,37135,Orange County,NC,112,127,20500,"Durham-Chapel Hill, NC",-15,112,163,-51,90,125,-35,76,63,13,172.0,195.0,173.0,178.0,166.0,176.0,153.0,172.0,390,478,-88,-36,16,48
195,06111,Ventura County,CA,112,136,37100,"Oxnard-Thousand Oaks-Ventura, CA",-24,131,142,-11,106,143,-37,100,93,7,172.0,189.0,164.0,188.0,159.0,169.0,142.0,160.0,449,514,-65,13,-26,44
196,29095,Jackson County,MO,112,191,28140,"Kansas City, MO-KS",-79,155,183,-28,107,92,15,74,72,2,172.0,158.0,151.0,169.0,158.0,190.0,155.0,168.0,448,538,-90,51,43,-13
197,06083,Santa Barbara County,CA,112,119,42200,"Santa Maria-Santa Barbara, CA",-7,105,109,-4,51,97,-46,70,105,-35,172.0,199.0,175.0,198.0,191.0,187.0,157.0,156.0,338,430,-92,3,-42,11
198,37067,Forsyth County,NC,110,166,49180,"Winston-Salem, NC",-56,151,192,-41,95,165,-70,84,130,-46,173.0,175.0,155.0,164.0,165.0,160.0,149.0,147.0,440,653,-213,15,-29,24
199,20091,Johnson County,KS,110,134,28140,"Kansas City, MO-KS",-24,99,171,-72,81,137,-56,57,40,17,173.0,191.0,178.0,176.0,171.0,172.0,167.0,184.0,347,482,-135,-48,16,73
200,12053,Hernando County,FL,108,177,45300,"Tampa-St. Petersburg-Clearwater, FL",-69,76,189,-113,0,124,-124,0,46,-46,174.0,168.0,190.0,167.0,215.0,177.0,191.0,180.0,184,536,-352,-44,-11,78
201,35001,Bernalillo County,NM,107,89,10740,"Albuquerque, NM",18,86,140,-54,107,79,28,67,0,67,175.0,218.0,185.0,189.0,158.0,197.0,160.0,195.0,367,308,59,-72,82,39
202,13151,Henry County,GA,105,305,12060,"Atlanta-Sandy Springs-Roswell, GA",-200,92,244,-152,38,161,-123,0,197,-197,176.0,128.0,180.0,149.0,200.0,161.0,191.0,130.0,235,907,-672,48,29,-74
203,24025,Harford County,MD,105,103,12580,"Baltimore-Columbia-Towson, MD",2,68,94,-26,73,42,31,60,88,-28,176.0,210.0,198.0,207.0,175.0,212.0,164.0,162.0,306,327,-21,-28,57,-59
204,08041,El Paso County,CO,104,191,17820,"Colorado Springs, CO",-87,152,171,-19,74,138,-64,67,149,-82,177.0,158.0,154.0,176.0,174.0,171.0,160.0,142.0,397,649,-252,68,-45,-18
205,45051,Horry County,SC,103,214,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",-111,88,198,-110,40,122,-82,0,88,-88,178.0,150.0,183.0,163.0,198.0,179.0,191.0,162.0,231,622,-391,1,28,-6
206,12073,Leon County,FL,101,143,45220,"Tallahassee, FL",-42,171,53,118,62,35,27,65,0,65,179.0,185.0,143.0,239.0,183.0,217.0,161.0,195.0,399,231,168,160,-91,38
207,13247,Rockdale County,GA,99,124,12060,"Atlanta-Sandy Springs-Roswell, GA",-25,63,136,-73,0,113,-113,0,64,-64,180.0,197.0,203.0,190.0,215.0,184.0,191.0,171.0,162,437,-275,-48,-40,49
208,34015,Gloucester County,NJ,95,93,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2,76,123,-47,61,64,-3,33,0,33,181.0,216.0,190.0,194.0,184.0,205.0,178.0,195.0,265,280,-15,-49,44,36
209,51540,Charlottesville city,VA,94,66,16820,"Charlottesville, VA",28,95,66,29,65,33,32,24,31,-7,182.0,232.0,179.0,230.0,181.0,219.0,187.0,191.0,278,196,82,1,3,-39
210,33009,Grafton County,NH,91,55,17200,"Claremont-Lebanon, NH-VT",36,79,73,6,68,44,24,42,0,42,183.0,243.0,189.0,223.0,178.0,210.0,174.0,195.0,280,172,108,-30,18,18
211,34011,Cumberland County,NJ,89,135,47220,"Vineland-Bridgeton, NJ",-46,39,109,-70,0,0,0,0,0,0,184.0,190.0,224.0,198.0,215.0,225.0,191.0,195.0,128,244,-116,-24,70,0
212,40109,Oklahoma County,OK,88,199,36420,"Oklahoma City, OK",-111,90,94,-4,58,130,-72,36,42,-6,185.0,155.0,182.0,207.0,187.0,174.0,176.0,182.0,272,465,-193,107,-68,66
213,26081,Kent County,MI,88,137,24340,"Grand Rapids-Wyoming, MI",-49,64,158,-94,86,87,-1,30,0,30,185.0,188.0,202.0,179.0,168.0,193.0,181.0,195.0,268,382,-114,-45,93,31
214,42075,Lebanon County,PA,86,178,30140,"Lebanon, PA",-92,60,212,-152,0,115,-115,0,55,-55,186.0,167.0,206.0,157.0,215.0,182.0,191.0,173.0,146,560,-414,-60,37,60
215,42027,Centre County,PA,86,61,44300,"State College, PA",25,62,50,12,29,0,29,23,23,0,186.0,237.0,204.0,241.0,208.0,225.0,188.0,194.0,200,134,66,-13,17,-29
216,51003,Albemarle County,VA,85,85,16820,"Charlottesville, VA",0,82,88,-6,59,43,16,0,0,0,187.0,221.0,187.0,213.0,186.0,211.0,191.0,195.0,226,216,10,-6,22,-16
217,40143,Tulsa County,OK,83,75,46140,"Tulsa, OK",8,68,85,-17,35,30,5,31,40,-9,188.0,227.0,198.0,215.0,203.0,222.0,180.0,184.0,217,230,-13,-25,22,-14
218,12035,Flagler County,FL,82,152,19660,"Deltona-Daytona Beach-Ormond Beach, FL",-70,91,182,-91,0,119,-119,0,87,-87,189.0,181.0,181.0,170.0,215.0,180.0,191.0,163.0,173,540,-367,-21,-28,32
219,33015,Rockingham County,NH,82,97,14460,"Boston-Cambridge-Newton, MA-NH",-15,92,105,-13,63,73,-10,57,43,14,189.0,213.0,180.0,200.0,182.0,198.0,167.0,181.0,294,318,-24,2,3,24
220,39113,Montgomery County,OH,81,60,19380,"Dayton, OH",21,59,103,-44,0,0,0,0,0,0,190.0,238.0,207.0,201.0,215.0,225.0,191.0,195.0,140,163,-23,-65,44,0
221,36025,Delaware County,NY,80,155,,non-metro,-75,62,168,-106,41,173,-132,27,64,-37,191.0,179.0,204.0,177.0,197.0,156.0,184.0,171.0,210,560,-350,-31,-26,95
222,31055,Douglas County,NE,80,111,36540,"Omaha-Council Bluffs, NE-IA",-31,82,94,-12,32,73,-41,56,38,18,191.0,205.0,187.0,207.0,205.0,198.0,168.0,186.0,250,316,-66,19,-29,59
223,10001,Kent County,DE,78,182,20100,"Dover, DE",-104,62,153,-91,40,85,-45,33,161,-128,192.0,164.0,204.0,184.0,198.0,195.0,178.0,137.0,213,581,-368,13,46,-83
224,53061,Snohomish County,WA,77,108,42660,"Seattle-Tacoma-Bellevue, WA",-31,66,131,-65,0,95,-95,56,0,56,193.0,207.0,200.0,191.0,215.0,188.0,168.0,195.0,199,334,-135,-34,-30,151
225,39017,Butler County,OH,76,65,17140,"Cincinnati, OH-KY-IN",11,62,72,-10,0,0,0,23,0,23,194.0,233.0,204.0,224.0,215.0,225.0,188.0,195.0,161,137,24,-21,10,23
226,13215,Muscogee County,GA,76,54,17980,"Columbus, GA-AL",22,39,106,-67,0,0,0,0,0,0,194.0,244.0,224.0,199.0,215.0,225.0,191.0,195.0,115,160,-45,-89,67,0
227,42041,Cumberland County,PA,75,112,25420,"Harrisburg-Carlisle, PA",-37,84,75,9,26,0,26,25,0,25,195.0,204.0,186.0,221.0,211.0,225.0,186.0,195.0,210,187,23,46,17,-1
228,51650,Hampton city,VA,74,138,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",-64,92,95,-3,39,72,-33,0,0,0,196.0,187.0,180.0,206.0,199.0,199.0,191.0,195.0,205,305,-100,61,-30,33
229,47093,Knox County,TN,72,63,28940,"Knoxville, TN",9,65,61,4,67,0,67,0,0,0,197.0,235.0,201.0,233.0,179.0,225.0,191.0,195.0,204,124,80,-5,63,-67
230,45015,Berkeley County,SC,72,142,16700,"Charleston-North Charleston, SC",-70,59,63,-4,0,71,-71,0,0,0,197.0,186.0,207.0,232.0,215.0,200.0,191.0,195.0,131,276,-145,66,-67,71
231,05119,Pulaski County,AR,71,77,30780,"Little Rock-North Little Rock-Conway, AR",-6,80,46,34,32,0,32,0,0,0,198.0,225.0,188.0,244.0,205.0,225.0,191.0,195.0,183,123,60,40,-2,-32
232,44009,Washington County,RI,70,63,39300,"Providence-Warwick, RI-MA",7,95,67,28,43,39,4,0,0,0,199.0,235.0,179.0,229.0,195.0,215.0,191.0,195.0,208,169,39,21,-24,-4
233,17019,Champaign County,IL,70,78,16580,"Champaign-Urbana, IL",-8,47,28,19,76,0,76,0,0,0,199.0,224.0,216.0,262.0,173.0,225.0,191.0,195.0,193,106,87,27,57,-76
234,19153,Polk County,IA,70,73,19780,"Des Moines-West Des Moines, IA",-3,41,66,-25,0,0,0,0,0,0,199.0,228.0,222.0,230.0,215.0,225.0,191.0,195.0,111,139,-28,-22,25,0
235,22033,East Baton Rouge Parish,LA,67,69,12940,"Baton Rouge, LA",-2,69,93,-24,71,42,29,58,0,58,200.0,230.0,197.0,208.0,177.0,212.0,166.0,195.0,265,204,61,-22,53,29
236,21067,Fayette County,KY,67,81,30460,"Lexington-Fayette, KY",-14,87,102,-15,58,31,27,28,0,28,200.0,223.0,184.0,202.0,187.0,221.0,183.0,195.0,240,214,26,-1,42,1
237,36063,Niagara County,NY,67,31,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,51,44,7,29,0,29,0,0,0,200.0,264.0,212.0,246.0,208.0,225.0,191.0,195.0,147,75,72,-29,22,-29
238,08059,Jefferson County,CO,67,117,19740,"Denver-Aurora-Lakewood, CO",-50,59,92,-33,40,68,-28,27,0,27,200.0,200.0,207.0,209.0,198.0,203.0,184.0,195.0,193,277,-84,17,5,55
239,32031,Washoe County,NV,65,83,39900,"Reno, NV",-18,67,39,28,0,34,-34,0,0,0,201.0,222.0,199.0,251.0,215.0,218.0,191.0,195.0,132,156,-24,46,-62,34
240,13217,Newton County,GA,62,113,12060,"Atlanta-Sandy Springs-Roswell, GA",-51,36,81,-45,0,68,-68,0,53,-53,202.0,203.0,227.0,216.0,215.0,203.0,191.0,175.0,98,315,-217,6,-23,15
241,41067,Washington County,OR,62,94,38900,"Portland-Vancouver-Hillsboro, OR-WA",-32,58,99,-41,43,44,-1,24,32,-8,202.0,215.0,208.0,205.0,195.0,210.0,187.0,190.0,187,269,-82,-9,40,-7
