destination,st_dest_abbrv,co_dest_name,hshlds,pop
45007,SC,Anderson County,13,22
48257,TX,Kaufman County,10,22
53071,WA,Walla Walla County,14,22
56029,WY,Park County,15,22
04007,AZ,Gila County,15,21
10005,DE,Sussex County,14,21
13059,GA,Clarke County,13,21
13077,GA,Coweta County,11,21
16019,ID,Bonneville County,14,21
25003,MA,Berkshire County,19,21
26021,MI,Berrien County,12,21
35017,NM,Grant County,10,21
39055,OH,Geauga County,11,21
42125,PA,Washington County,11,21
46093,SD,Meade County,12,21
51095,VA,James City County,14,21
51550,VA,Chesapeake city,10,21
53037,WA,Kittitas County,10,21
04001,AZ,Apache County,10,20
05125,AR,Saline County,10,20
23031,ME,York County,12,20
39025,OH,Clermont County,12,20
39043,OH,Erie County,10,20
39155,OH,Trumbull County,13,20
55139,WI,Winnebago County,10,20
13127,GA,Glynn County,13,19
20169,KS,Saline County,12,19
26093,MI,Livingston County,15,19
28035,MS,Forrest County,11,19
35061,NM,Valencia County,13,19
41009,OR,Columbia County,13,19
42079,PA,Luzerne County,16,19
47163,TN,Sullivan County,11,19
53041,WA,Lewis County,11,19
53055,WA,San Juan County,12,19
56005,WY,Campbell County,16,19
05089,AR,Marion County,13,18
08015,CO,Chaffee County,11,18
12035,FL,Flagler County,13,18
13247,GA,Rockdale County,10,18
18081,IN,Johnson County,11,18
19061,IA,Dubuque County,12,18
22063,LA,Livingston Parish,12,18
22105,LA,Tangipahoa Parish,10,18
26025,MI,Calhoun County,11,18
33013,NH,Merrimack County,15,18
34015,NJ,Gloucester County,13,18
35047,NM,San Miguel County,12,18
39009,OH,Athens County,14,18
48451,TX,Tom Green County,11,18
51121,VA,Montgomery County,12,18
51610,VA,Falls Church city,10,18
53027,WA,Grays Harbor County,11,18
55059,WI,Kenosha County,12,18
56033,WY,Sheridan County,11,18
24047,MD,Worcester County,11,17
26121,MI,Muskegon County,12,17
28121,MS,Rankin County,14,17
34019,NJ,Hunterdon County,12,17
36083,NY,Rensselaer County,15,17
51177,VA,Spotsylvania County,12,17
51770,VA,Roanoke city,13,17
54039,WV,Kanawha County,10,17
54061,WV,Monongalia County,10,17
05069,AR,Jefferson County,12,16
08083,CO,Montezuma County,11,16
51199,VA,York County,10,16
55035,WI,Eau Claire County,10,16
55127,WI,Walworth County,11,16
01069,AL,Houston County,10,15
13095,GA,Dougherty County,10,15
31157,NE,Scotts Bluff County,10,15
37125,NC,Moore County,10,15
40017,OK,Canadian County,10,15
42069,PA,Lackawanna County,11,15
53045,WA,Mason County,10,15
56039,WY,Teton County,10,15
12023,FL,Columbia County,12,14
21151,KY,Madison County,10,14
36093,NY,Schenectady County,11,14
37037,NC,Chatham County,11,14
39103,OH,Medina County,13,14
40125,OK,Pottawatomie County,10,14
53075,WA,Whitman County,12,14
17077,IL,Jackson County,11,13
36079,NY,Putnam County,10,13
39109,OH,Miami County,10,13
33005,NH,Cheshire County,11,12
57007,FR,Foreign - US Virgin Islands,11,12
24013,MD,Carroll County,10,11
